"","animal_id","animal_name","animal_type","primary_color","secondary_color","sex","dob","intake_date","intake_condition","intake_type","intake_subtype","reason_for_intake","outcome_date","crossing","jurisdiction","outcome_type","outcome_subtype","latitude","longitude","outcome_is_dead","was_outcome_alive","geopoint","color","intake"
"1597","A586937",NA,"cat","orange tabby",NA,"Male",2009-03-11,2017-03-10,"ill moderatete","stray","field",NA,2017-03-11,"1800 BLK W CANTON ST, LONG BEACH, CA 90810","Long Beach","euthanasia","ill severe",33.8106334,-118.2166328,TRUE,FALSE,"33.8106334, -118.2166328","orange","moderate"
"1598","A630497","eva","cat","brown",NA,"Female",NA,2019-07-24,"normal","owner surrender","otc","move",2019-07-24,"19000 IBEX AVE, CERRITOS, CA 90703","Cerritos","transfer","spcala",33.8582345,-118.0738803,FALSE,TRUE,"33.8582345, -118.0738803","brown","normal"
"1599","A629388",NA,"cat","tortie",NA,"Unknown",2019-05-06,2019-07-06,"fractious","stray","otc",NA,2019-07-18,"1800 BLK W SPRING ST, LONG BEACH, CA 90810","Long Beach","euthanasia","ill severe",33.8114398,-118.2166137,TRUE,FALSE,"33.8114398, -118.2166137","multi","feral_fractious"
"1600","A597881","*branch","cat","brown  tabby","white","Female",2011-09-28,2017-09-28,"normal","stray","otc",NA,2017-10-13,"19000 JACOB AVE, CERRITOS, CA 90703","Cerritos","euthanasia","ill modera",33.8567764,-118.0772794,TRUE,FALSE,"33.8567764, -118.0772794","other","normal"
"1601","A722200","*flint","cat","gray",NA,"Neutered",2024-04-14,2024-06-04,"ill mild","stray","field",NA,2024-07-05,"19000 JEFFREY CIRCLE, LONG BEACH CA 90703","Long Beach","community cat","commcat",33.8528265,-118.0542147,FALSE,TRUE,"33.8528265, -118.0542147","grey","mild"
"1602","A610082","*london","cat","orange tabby",NA,"Neutered",2018-02-22,2018-06-22,"normal","stray","otc",NA,2018-07-28,"1800 BLK W SPRING ST, LONG BEACH, CA 90810","Long Beach","shelter, neuter, return","straycatal",33.8114398,-118.2166137,FALSE,TRUE,"33.8114398, -118.2166137","orange","normal"
"1603","A610083","*lil loaf","cat","orange tabby",NA,"Neutered",2018-02-22,2018-06-22,"normal","stray","otc",NA,2018-07-28,"1800 BLK W SPRING ST, LONG BEACH, CA 90810","Long Beach","shelter, neuter, return","straycatal",33.8114398,-118.2166137,FALSE,TRUE,"33.8114398, -118.2166137","orange","normal"
"1604","A714078","*gemma","cat","calico",NA,"Spayed",2012-01-27,2024-01-27,"ill moderatete","stray","field",NA,2024-03-31,"1800 BLK W WILMA PL","Long Beach","adoption",NA,33.804772,-118.2167748,FALSE,TRUE,"33.804772, -118.2167748","multi","moderate"
"1605","A702614",NA,"cat","black",NA,"Unknown",2023-05-10,2023-07-10,"ill mild","stray","field",NA,2023-07-11,"19100 PIONEER","Cerritos","euthanasia","at vet",33.8583483,-118.0647871,TRUE,FALSE,"33.8583483, -118.0647871","black","mild"
"1606","A674829","*katy purry","cat","black","white","Spayed",2022-04-02,2022-05-14,"normal","stray","otc",NA,2022-10-19,"1800 BLK XIMENO AVE, LONG BEACH, CA 90815","Long Beach","rescue","karmares",33.7901485,-118.138669,FALSE,TRUE,"33.7901485, -118.138669","black","normal"
"1607","A729625",NA,"cat","gray tabby","white","Male",2024-08-05,2024-10-05,"normal","stray","otc",NA,2024-10-08,"19200 BLK STUDEBAKER ROAD CERRITOS CA 90703","Cerritos","rescue","capaws",33.855049,-118.0996435,FALSE,TRUE,"33.855049, -118.0996435","grey","normal"
"1608","A705722","*terri","cat","calico",NA,"Spayed",2023-04-30,2023-08-30,"ill mild","stray","otc",NA,2023-10-18,"1800 BLOCK GARDENIA AVE, LONG BEACH CA","Long Beach","adoption","web",33.7898887,-118.1687288,FALSE,TRUE,"33.7898887, -118.1687288","multi","mild"
"1609","A729626",NA,"cat","brown  tabby","white","Female",2024-08-05,2024-10-05,"normal","stray","otc",NA,2024-10-08,"19200 BLK STUDEBAKER ROAD CERRITOS CA 90703","Cerritos","rescue","capaws",33.855049,-118.0996435,FALSE,TRUE,"33.855049, -118.0996435","other","normal"
"1610","A715103",NA,"cat","black",NA,"Unknown",2023-12-16,2024-02-16,"ill mild","stray","otc",NA,2024-02-16,"1800 BLOCK HARDING ST, LONG BEACH CA","Long Beach","euthanasia","at vet",33.8671586,-118.1704594,TRUE,FALSE,"33.8671586, -118.1704594","black","mild"
"1611","A588234",NA,"cat","brown  tabby","white","Male",2011-04-07,2017-04-07,"ill moderatete","stray","field",NA,2017-04-08,"19211 STUDEBAKER RD, CERRITOS, CA 90703","Cerritos","euthanasia","at vet",33.8555202,-118.1000602,TRUE,FALSE,"33.8555202, -118.1000602","other","moderate"
"1612","A594211","*wakko","cat","brown  tabby",NA,"Male",2017-03-26,2017-07-26,"normal","stray","otc",NA,2017-08-03,"19300 ALLINGHAM AVE, CERRITOS, CA 90703","Cerritos","transfer","spcala",33.8550738,-118.0987255,FALSE,TRUE,"33.8550738, -118.0987255","other","normal"
"1613","A731352","*danny phantom","cat","white",NA,"Male",2024-08-27,2024-10-27,"ill severe","stray","otc",NA,NA,"1800 BLOCK XIMENO AVE, LONG BEACH CA","Long Beach",NA,NA,33.7901485,-118.138669,FALSE,TRUE,"33.7901485, -118.138669","white","severe"
"1614","A632054","jogz","cat","black",NA,"Female",2009-08-16,2019-08-16,"normal","owner surrender","otc","unknown",2019-08-16,"1800 E WARDLOW RD, LONG BEACH, CA 90807","Long Beach","transfer","spcala",33.8177675,-118.1704137,FALSE,TRUE,"33.8177675, -118.1704137","black","normal"
"1615","A588546","*horris","cat","black","white","Male",2014-04-13,2017-04-13,"normal","stray","otc",NA,2017-05-04,"1800 GARDENIA AVE, LONG BEACH, CA 90806","Long Beach","euthanasia","ill severe",33.7898887,-118.1687288,TRUE,FALSE,"33.7898887, -118.1687288","black","normal"
"1616","A587359",NA,"cat","gray tabby",NA,"Unknown",2017-03-14,2017-03-21,"ill severe","stray","otc",NA,2017-03-21,"1800 GOLDEN AVE, LONG BEACH, CA 90806","Long Beach","euthanasia","ill severe",33.790322,-118.2024287,TRUE,FALSE,"33.790322, -118.2024287","grey","severe"
"1617","A591970","*pepper","cat","black",NA,"Female",2017-04-16,2017-06-16,"normal","stray","otc",NA,2017-07-01,"1800 LEWIS AVE, LONG BEACH, CA 90806","Long Beach","rescue","littlelion",33.7898666,-118.1796068,FALSE,TRUE,"33.7898666, -118.1796068","black","normal"
"1618","A626682","*mr. krabs","cat","gray tabby","white","Neutered",2013-05-19,2019-05-19,"fractious","stray","trap",NA,2019-05-24,"19500 BLK ALIDA AVE, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8528787,-118.0774022,FALSE,TRUE,"33.8528787, -118.0774022","grey","feral_fractious"
"1619","A638269","nala","cat","brown  tabby","orange","Spayed",2011-01-06,2020-01-06,"fractious","owner surrender","field",NA,2020-02-15,"1800 PINE AVE, LONG B EACH, CA 90806","Long Beach","adoption","walkin",33.7898836,-118.1920127,FALSE,TRUE,"33.7898836, -118.1920127","other","feral_fractious"
"1620","A592978","*ludovica","cat","black","white","Spayed",2013-07-06,2017-07-06,"feral","stray","otc",NA,2017-07-12,"1800 SAN ANSELINE AVE, LONG BEACH, CA 90815","Long Beach","rescue","straycatal",33.7889816,-118.1207944,FALSE,TRUE,"33.7889816, -118.1207944","black","feral_fractious"
"1621","A667599","*lyla","cat","unknown",NA,"Spayed",NA,2021-12-12,"normal","stray","otc",NA,2022-02-17,"1800 STANLEY AVE SIGNAL HILL CA 907551800 STANLEY AVE, SIGNAL HILL, CA 90755","Long Beach","adoption","web",33.7898621,-118.1622402,FALSE,TRUE,"33.7898621, -118.1622402","unknown","normal"
"1622","A697312","*orion","cat","gray","white","Neutered",2020-04-22,2023-08-31,"fractious","return","adoption",NA,2023-11-02,"19600 BLK GRIDLEY ROAD CERRITOS CA 90703","Cerritos","rescue","kittybunga",33.8524511,-118.0907831,FALSE,TRUE,"33.8524511, -118.0907831","grey","feral_fractious"
"1623","A626995","*tulip","cat","tortie",NA,"Spayed",2019-04-10,2019-05-25,"fractious","stray","otc",NA,2019-07-18,"1800 W SPRING ST, LONG BEACH, CA 90810","Long Beach","adoption","walkin",33.8114398,-118.2166137,FALSE,TRUE,"33.8114398, -118.2166137","multi","feral_fractious"
"1624","A697291",NA,"cat","gray",NA,"Male",2015-04-22,2023-04-22,"ill severe","stray","field",NA,2023-04-22,"19600 BLK SABRINA CT","Long Beach","euthanasia","ill severe",33.7700504,-118.1937395,TRUE,FALSE,"33.7700504, -118.1937395","grey","severe"
"1625","A623828","*xena warrior princess","cat","brown  tabby","white","Spayed",2018-03-26,2019-03-26,"fractious","stray","trap",NA,2019-04-06,"19700 BLK MAPES AVE, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8516765,-118.0922532,FALSE,TRUE,"33.8516765, -118.0922532","other","feral_fractious"
"1626","A645362",NA,"cat","brown",NA,"Male",2020-07-04,2020-07-11,"ill mild","stray","otc",NA,2020-07-11,"19700 BLOOMFIELD AVE, CERRITOS, CA 90703","Cerritos","rescue","littlepaws",33.8520894,-118.0622298,FALSE,TRUE,"33.8520894, -118.0622298","brown","mild"
"1627","A673129","*pattycakes","cat","brown  tabby",NA,"Spayed",NA,2022-04-15,"normal","stray","field",NA,2022-10-06,"19700 LUSK AVE, CERRITOS, CA 90703","Cerritos","rescue","kittybunga",33.851482,-118.0888536,FALSE,TRUE,"33.851482, -118.0888536","other","normal"
"1628","A650511",NA,"cat","gray tabby",NA,"Female",2020-08-25,2020-10-25,"normal","stray","otc",NA,2020-10-27,"18000 BLK GODINHO AVE, CERRITOS, CA 90703","Cerritos","rescue","littlepaws",33.861679,-118.0580844,FALSE,TRUE,"33.861679, -118.0580844","grey","normal"
"1629","A717945","layla","cat","brown  tabby",NA,"Unknown",2024-04-01,2024-04-02,"ill moderatete","stray","field",NA,2024-04-07,"18000 BLK HOLMES AVE, CERRITOS, CA 90703","Cerritos","rescue","littlelion",33.8672539,-118.045738,FALSE,TRUE,"33.8672539, -118.045738","other","moderate"
"1630","A717947","kris","cat","brown  tabby",NA,"Unknown",2024-04-01,2024-04-02,"ill moderatete","stray","field",NA,2024-04-07,"18000 BLK HOLMES AVE, CERRITOS, CA 90703","Cerritos","rescue","littlelion",33.8672539,-118.045738,FALSE,TRUE,"33.8672539, -118.045738","other","moderate"
"1631","A717948","garfunkle","cat","white",NA,"Unknown",2024-04-01,2024-04-02,"ill moderatete","stray","field",NA,2024-04-07,"18000 BLK HOLMES AVE, CERRITOS, CA 90703","Cerritos","rescue","littlelion",33.8672539,-118.045738,FALSE,TRUE,"33.8672539, -118.045738","white","moderate"
"1632","A598057",NA,"cat","orange tabby","white","Female",2017-08-27,2017-10-01,"normal","stray","otc",NA,2017-10-25,"19800 BLOOMFIELD AVE, CERRITOS, CA 90703","Cerritos","rescue","fndanifoun",33.850826,-118.0624719,FALSE,TRUE,"33.850826, -118.0624719","orange","normal"
"1633","A645177","a645177","cat","gray tabby","white","Neutered",2020-04-08,2020-07-08,"fractious","stray","otc",NA,2020-07-21,"18000 BLK JEFFREY AVE, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8701468,-118.0543201,FALSE,TRUE,"33.8701468, -118.0543201","grey","feral_fractious"
"1634","A616667","*harlem","cat","black",NA,"Spayed",2016-10-25,2018-10-25,"fractious","stray","trap",NA,2018-11-05,"18000 BLK JEFFREY AVE, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8701468,-118.0543201,FALSE,TRUE,"33.8701468, -118.0543201","black","feral_fractious"
"1635","A592308","*chive","cat","brown  tabby",NA,"Spayed",2015-06-23,2017-06-23,"feral","stray","otc",NA,2017-06-28,"18000 BLK KINGS ROW AVE, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8622628,-118.1049605,FALSE,TRUE,"33.8622628, -118.1049605","other","feral_fractious"
"1636","A635940","635940*nutmeg","cat","tortie",NA,"Spayed",2014-11-10,2019-11-09,"normal","stray","otc",NA,2019-11-26,"18000 BLK QUEENS CT, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8612155,-118.0510022,FALSE,TRUE,"33.8612155, -118.0510022","multi","normal"
"1637","A626988",NA,"cat","gray","white","Male",2019-03-25,2019-05-25,"fractious","stray","otc",NA,2019-07-17,"18000 GODINHO AVE, CERRITOS, CA 90703","Cerritos","transfer","spcala",33.861679,-118.0580844,FALSE,TRUE,"33.861679, -118.0580844","grey","feral_fractious"
"1638","A626075","*eilish","cat","black",NA,"Spayed",2017-05-09,2019-05-09,"fractious","stray","otc",NA,2019-05-21,"18000 WYETH DR, CERRITOS, CA 90703","Cerritos","shelter, neuter, return","straycatal",33.8565835,-118.0789487,FALSE,TRUE,"33.8565835, -118.0789487","black","feral_fractious"
"1639","A586031","ginger","cat","brown  tabby","calico","Spayed",2016-11-19,2017-02-19,"normal","stray","otc",NA,2017-03-01,"1ST ST / LONG BEACH BLVD, LONG BEACH, CA 90802","Long Beach","adoption","remote evt",33.7681825,-118.1900671,FALSE,TRUE,"33.7681825, -118.1900671","other","normal"
"1640","A586033",NA,"cat","snowshoe",NA,"Male",2016-12-19,2017-02-19,"normal","stray","otc",NA,2017-02-19,"1ST ST / LONG BEACH BLVD, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7681825,-118.1900671,FALSE,TRUE,"33.7681825, -118.1900671","multi","normal"
"1641","A605996","khaki","cat","brown  tabby",NA,"Female",2014-04-08,2018-04-08,"normal","stray","otc",NA,2018-04-13,"20 BLK 69TH PL, LONG BEACH, CA 90803","Long Beach","transfer","spcala",33.7461607,-118.1189419,FALSE,TRUE,"33.7461607, -118.1189419","other","normal"
"1642","A605995","miriah","cat","brown  tabby",NA,"Female",2013-04-08,2018-04-08,"normal","stray","otc",NA,2018-04-13,"20 BLK 69TH PL, LONG BEACH, CA 90803","Long Beach","transfer","spcala",33.7461607,-118.1189419,FALSE,TRUE,"33.7461607, -118.1189419","other","normal"
"1643","A654354","*simon","cat","gray tabby","brown","Neutered",2015-02-22,2021-02-22,"ill moderatete","stray","field",NA,2021-04-01,"20 BLK E MOUNTAIN VIEW ST, LONG BEACH, CA 90805","Long Beach","rescue","spcala",33.8515239,-118.195241,FALSE,TRUE,"33.8515239, -118.195241","grey","moderate"
"1644","A634593","perfect","cat","brown  tabby",NA,"Neutered",2018-10-04,2019-10-04,"normal","owner surrender","otc","owner prob",2019-12-15,"20 BLK W ARBOR ST, LONG BEACH, CA 90805","Long Beach","adoption","spec evt",33.8439364,-118.1935684,FALSE,TRUE,"33.8439364, -118.1935684","other","normal"
"1645","A594006","*reyes lay","cat","black",NA,"Spayed",2017-03-22,2018-03-04,"normal","stray","otc",NA,2018-03-24,"183RD ST / BLOOMFIELD AVE, CERRITOS, CA 90703","Cerritos","adoption","good sam",33.8659087,-118.0637991,FALSE,TRUE,"33.8659087, -118.0637991","black","normal"
"1646","A699805","waffle","cat","gray",NA,"Neutered",2023-03-31,2023-05-31,"ill moderatete","stray","otc",NA,2023-08-30,"200 BLK 67TH WAY LONG BEACH 90805","Long Beach","adoption","web",33.8768403,-118.2056244,FALSE,TRUE,"33.8768403, -118.2056244","grey","moderate"
"1647","A682503",NA,"cat","white","brown  tabby","Male",2022-04-26,2022-08-26,"ill moderatete","stray","field",NA,2022-08-26,"18400 HEATHER AVE, CERRITOS, CA 90703","Cerritos","euthanasia","ill severe",33.8648335,-118.0423775,TRUE,FALSE,"33.8648335, -118.0423775","white","moderate"
"1648","A673644","calley","cat","calico",NA,"Spayed",2015-04-28,2022-04-27,"normal","owner surrender","field",NA,2022-04-30,"1845 CHESTNUT AVE, LONG BEACH, CA 90806","Long Beach","adoption","spec evt",33.7907056,-118.1966828,FALSE,TRUE,"33.7907056, -118.1966828","multi","normal"
"1649","A678330",NA,"cat","gray tabby",NA,"Female",2022-06-09,2022-06-24,"ill severe","stray","field",NA,2022-06-24,"18500 BLK STUDEBAKER RD, CERRITOS, CA 90703","Cerritos","euthanasia","ill severe",33.8635376,-118.0986428,TRUE,FALSE,"33.8635376, -118.0986428","grey","severe"
"1650","A703030","dakota","cat","gray",NA,"Female",2023-05-16,2023-07-16,"normal","stray","field",NA,2023-07-22,"18600 BLK B LOOMFIELD, CERR 90703","Long Beach","adoption",NA,33.8631745,-118.0614887,FALSE,TRUE,"33.8631745, -118.0614887","grey","normal"
"1651","A703031","*turtle shell","cat","gray",NA,"Spayed",2023-05-16,2023-07-16,"normal","stray","field",NA,2023-07-22,"18600 BLK B LOOMFIELD, CERR 90703","Long Beach","rescue","capaws",33.8631745,-118.0614887,FALSE,TRUE,"33.8631745, -118.0614887","grey","normal"
"1652","A692590","armani","cat","brown  tabby",NA,"Female",2020-01-28,2023-01-28,"ill mild","stray","otc",NA,2023-02-03,"200 BLK ATLANTIC AVE LB CA 90802","Long Beach","euthanasia","at vet",33.770367,-118.1846958,TRUE,FALSE,"33.770367, -118.1846958","other","mild"
"1653","A622490",NA,"cat","brown  tabby","white","Male",2016-02-25,2019-02-25,"normal","stray","otc",NA,2019-02-28,"200 BLK BONITO AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7683277,-118.1805378,FALSE,TRUE,"33.7683277, -118.1805378","other","normal"
"1654","A701783","*oregon","cat","black","white","Neutered",2022-06-28,2023-06-28,"ill mild","stray","otc",NA,2024-01-27,"200 BLK E 12TH STREET LONG BEACH CA 90813","Long Beach","adoption","web",33.7814103,-118.1911031,FALSE,TRUE,"33.7814103, -118.1911031","black","mild"
"1655","A665281","sasha","cat","tortie","white","Female",2020-10-14,2021-10-14,"normal","confiscate","police",NA,2021-10-29,"200 BLK E 27TH ST, LONG BEACH, CA 90806","Long Beach","return to owner","walkin",33.8058943,-118.1907968,FALSE,TRUE,"33.8058943, -118.1907968","multi","normal"
"1656","A713093","chester","cat","white","gray","Neutered",2013-01-11,2024-01-11,"normal","owner surrender","otc",NA,2024-06-02,"18700 BLOCK OF VIKINGS WAY, CERRITOS, CA 90703","Cerritos","adoption","web",33.8619431,-118.0482752,FALSE,TRUE,"33.8619431, -118.0482752","white","normal"
"1657","A633946",NA,"cat","brown  tabby",NA,"Neutered",2016-09-20,2019-09-20,"ill moderatete","stray","field",NA,2019-12-24,"18700 GODINHO AVE, CERRITOS, CA 90703","Cerritos","transfer","spcala",33.861679,-118.0580844,FALSE,TRUE,"33.861679, -118.0580844","other","moderate"
"1658","A632846","ivy","cat","gray tabby",NA,"Spayed",2012-08-31,2019-08-31,"normal","owner surrender","otc",NA,2019-12-29,"200 BLK E 3RD ST, LONG BEACH, CA 90802","District2","adoption","walkin",33.7702544,-118.1909739,FALSE,TRUE,"33.7702544, -118.1909739","grey","normal"
"1659","A627465","*primm","cat","brown  tabby",NA,"Spayed",2017-06-01,2019-06-01,"normal","stray","otc",NA,2020-04-03,"18830 SAN GABRIEL AVE, CERRITOS, CA 90703","Cerritos","adoption","pfe/pawshp",33.859798,-118.1037866,FALSE,TRUE,"33.859798, -118.1037866","other","normal"
"1660","A608913",NA,"cat","black","white","Female",2015-06-01,2018-06-01,"normal","stray","otc",NA,2018-06-14,"18900 BLK SAN GABRIEL AVE, CERRITOS, CA 90703","Cerritos","return to rescue","other resc",33.8589904,-118.1037222,FALSE,TRUE,"33.8589904, -118.1037222","black","normal"
"1661","A603319","*nigel","cat","brown  tabby","white","Neutered",2014-02-02,2018-02-02,"fractious","stray","trap",NA,2018-02-10,"200 BLK E 59TH ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8618297,-118.191754,FALSE,TRUE,"33.8618297, -118.191754","other","feral_fractious"
"1662","A690253",NA,"cat","white","gray","Unknown",NA,2022-12-08,"ill severe","stray","field",NA,2022-12-08,"18900 KINGS ROW AVE, CERRITOS, CA 90703","Cerritos","died","in care",33.8592985,-118.1046737,TRUE,FALSE,"33.8592985, -118.1046737","white","severe"
"1663","A697104","*maraschino","cat","brown  tabby",NA,"Spayed",2023-03-05,2023-04-20,"normal","stray","otc",NA,2023-04-29,"1900 BLK CEDAR AVE LB 90806","Long Beach","adoption",NA,33.7918539,-118.1948868,FALSE,TRUE,"33.7918539, -118.1948868","other","normal"
"1664","A708884","*oni","cat","gray","white","Neutered",2023-09-24,2023-10-15,"ill mild","stray","field",NA,2023-12-16,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806","Long Beach","adoption","remote evt",33.7918539,-118.1948868,FALSE,TRUE,"33.7918539, -118.1948868","grey","mild"
"1665","A708886","*bakeneko","cat","black","white","Spayed",2023-09-24,2023-10-15,"ill mild","stray","field",NA,2023-12-23,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806","Long Beach","adoption","pfe/pawshp",33.7918539,-118.1948868,FALSE,TRUE,"33.7918539, -118.1948868","black","mild"
"1666","A729017","*dandy","cat","black",NA,"Neutered",2024-07-25,2024-09-25,"normal","stray","otc",NA,2024-10-10,"200 BLK E ARTESIA BLVD LONG BEACH CA 90805","Long Beach","adoption","web",33.8740833,-118.2003705,FALSE,TRUE,"33.8740833, -118.2003705","black","normal"
"1667","A706696","*lilia","cat","torbi","brown","Spayed",2020-09-17,2023-09-12,"ill moderatete","stray","field",NA,2023-11-11,"1900 BLK CHESTNUT AVE, LONG BEACH, CA 90806","Long Beach","adoption",NA,33.7918406,-118.1960749,FALSE,TRUE,"33.7918406, -118.1960749","multi","moderate"
"1668","A598012","*flint","cat","brown  tabby",NA,"Neutered",2015-09-30,2017-09-30,"normal","stray","otc",NA,2017-11-12,"200 BLK E CUMMINGS LN, LONG BEACH, CA 90805","Long Beach","adoption","spcala",33.8764386,-118.1981979,FALSE,TRUE,"33.8764386, -118.1981979","other","normal"
"1669","A665224",NA,"cat","brown  tabby",NA,"Female",2014-10-13,2021-10-13,"ill severe","stray","field",NA,2021-10-13,"200 BLK E DEL AMO BLVD, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8464537,-118.1915809,TRUE,FALSE,"33.8464537, -118.1915809","other","severe"
"1670","A605780","*chef tim warren","cat","orange tabby",NA,"Neutered",2017-08-05,2018-04-05,"normal","stray","trap",NA,2018-04-18,"200 BLK E FORHAN ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8712725,-118.2005122,FALSE,TRUE,"33.8712725, -118.2005122","orange","normal"
"1671","A678928",NA,"cat","gray","white","Unknown",2022-05-05,2022-07-05,"ill severe","stray","field",NA,2022-07-05,"1900 BLK E 56TH ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8576061,-118.1695264,TRUE,FALSE,"33.8576061, -118.1695264","grey","severe"
"1672","A585453","*clareese","cat","brown  tabby",NA,"Spayed",2016-02-05,2017-02-05,"feral","stray","field",NA,2017-02-07,"1900 BLK E 65TH ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.872645,-118.1695932,FALSE,TRUE,"33.872645, -118.1695932","other","feral_fractious"
"1673","A678809","*mercury","cat","calico",NA,"Female",2022-06-26,2022-07-03,"normal","stray","otc",NA,2022-07-05,"200 BLK E LOUISE ST, LONG BEACH, CA 90805","Long Beach","died","in care",33.8551137,-118.1917564,TRUE,FALSE,"33.8551137, -118.1917564","multi","normal"
"1674","A637699","abby","cat","gray",NA,"Spayed",2019-08-18,2019-12-18,"normal","stray","otc",NA,2020-01-17,"1900 BLK E JACKSON ST, LONG BEACH, CA 90805","Long Beach","adoption","pfe/pawshp",33.8517738,-118.1691399,FALSE,TRUE,"33.8517738, -118.1691399","grey","normal"
"1675","A678811","*mars","cat","calico",NA,"Female",2022-06-26,2022-07-03,"normal","stray","otc",NA,2022-07-03,"200 BLK E LOUISE ST, LONG BEACH, CA 90805","Long Beach","died","in foster",33.8551137,-118.1917564,TRUE,FALSE,"33.8551137, -118.1917564","multi","normal"
"1676","A611688","percy","cat","gray",NA,"Neutered",2008-05-10,2019-04-30,"normal","stray","field",NA,2019-05-18,"200 BLK E MORNINGSIDE ST, LONG BEACH, CA 90805","Long Beach","return to owner","walkin",33.8498217,-118.1917094,FALSE,TRUE,"33.8498217, -118.1917094","grey","normal"
"1677","A725124",NA,"cat","black",NA,"Female",2024-04-19,2024-07-19,"ill moderatete","stray","otc",NA,2024-07-19,"200 BLK E NEECE ST, LONG BEACH 90805","Long Beach","euthanasia","ill severe",33.8718072,-118.2003647,TRUE,FALSE,"33.8718072, -118.2003647","black","moderate"
"1678","A590389",NA,"cat","white","brown","Female",2017-02-17,2017-05-17,"normal","stray","otc",NA,2017-05-31,"1900 BLK E MCKENZIE ST, LONG BEACH, CA 90805","Long Beach","adoption","spcala",33.8717045,-118.1695724,FALSE,TRUE,"33.8717045, -118.1695724","white","normal"
"1679","A590392","*moon","cat","white","gray","Female",2017-02-17,2017-05-17,"normal","stray","otc",NA,2017-06-04,"1900 BLK E MCKENZIE ST, LONG BEACH, CA 90805","Long Beach","rescue","littlelion",33.8717045,-118.1695724,FALSE,TRUE,"33.8717045, -118.1695724","white","normal"
"1680","A590390","*sky","cat","gray tabby",NA,"Female",2017-02-17,2017-05-17,"normal","stray","otc",NA,2017-06-04,"1900 BLK E MCKENZIE ST, LONG BEACH, CA 90805","Long Beach","rescue","littlelion",33.8717045,-118.1695724,FALSE,TRUE,"33.8717045, -118.1695724","grey","normal"
"1681","A590391",NA,"cat","gray tabby",NA,"Male",2017-02-17,2017-05-17,"normal","stray","otc",NA,2017-05-25,"1900 BLK E MCKENZIE ST, LONG BEACH, CA 90805","Long Beach","transfer","spcala",33.8717045,-118.1695724,FALSE,TRUE,"33.8717045, -118.1695724","grey","normal"
"1682","A681056","*cheezy tako","cat","orange",NA,"Male",2022-06-29,2022-07-29,"normal","stray","otc",NA,2022-08-03,"1900 BLK E OCEAN BLVD, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7641946,-118.1696368,FALSE,TRUE,"33.7641946, -118.1696368","orange","normal"
"1683","A633165","a633165","cat","orange tabby",NA,"Spayed",2017-09-07,2019-09-07,"normal","stray","otc",NA,2019-10-15,"200 BLK E NORTON ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8583763,-118.192456,FALSE,TRUE,"33.8583763, -118.192456","orange","normal"
"1684","A681055","*oi oi","cat","calico",NA,"Female",2022-06-29,2022-07-29,"normal","stray","otc",NA,2022-08-03,"1900 BLK E OCEAN BLVD, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7641946,-118.1696368,FALSE,TRUE,"33.7641946, -118.1696368","multi","normal"
"1685","A665077","*prissy","cat","gray",NA,"Female",2021-09-25,2021-10-09,"ill mild","stray","otc",NA,2021-10-09,"1900 BLK FASHION AVE, LONG BEACH, CA 90810","Long Beach","euthanasia","undrage/wt",33.7921398,-118.2089455,TRUE,FALSE,"33.7921398, -118.2089455","grey","mild"
"1686","A586437",NA,"cat","white","brown  tabby","Unknown",2016-10-02,2017-03-02,"ill moderatete","stray","field",NA,2017-03-02,"200 BLK E PLENTY ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8473188,-118.1910137,TRUE,FALSE,"33.8473188, -118.1910137","white","moderate"
"1687","A592609",NA,"cat","brown  tabby",NA,"Female",2017-05-08,2017-06-28,"ill moderatete","stray","field",NA,2017-06-29,"200 BLK E PLENTY ST, LONG BEACH, CA 90805","Long Beach","euthanasia","undrage/wt",33.8473188,-118.1910137,TRUE,FALSE,"33.8473188, -118.1910137","other","moderate"
